beian_hao,fof99_fund_name,fof99_short_name,fof99_advisor,fof99_price_date,fof99_price_nav,fof99_strategy_one,fof99_strategy_two,is_share_class,src_missing_reason,in_private_fund_info,in_amac,amac_fund_name,amac_working_state,amac_manager,has_db_nav,nav_rows,nav_min_date,nav_max_date,info_latest_nav_date,info_latest_nav,in_fof99_universe,fof99_policy,fof99_reason,universe_listed_at,last_fetch_date,last_fetch_status,last_ok_date,empty_date_probe
X9542A,泽塔盖德尔雪币2号私募证券投资基金A类份额,泽塔盖德尔雪币2号A类,海南泽塔,2026-08-21,25.2036,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
XX303C,览山1号私募证券投资基金C类份额,览山1号C类,宁夏览山,2026-08-21,1.5113,组合策略,FOF,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
ZK042B,数算奇点私募证券投资基金B类份额,数算奇点B类,北京数算先锋资管,2026-08-21,1.399,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
ZK042C,数算奇点私募证券投资基金C类份额,数算奇点C类,北京数算先锋资管,2026-08-21,1.104,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
09416A,熙盛睿远均衡私募证券投资基金A类份额,熙盛睿远均衡A类,上海熙盛明诚,2026-08-24,1.1117,多资产策略,宏观策略,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
AEL68A,宝荟华悦1号私募证券投资基金A类份额,宝荟华悦1号A类,上海宝荟投资,2026-08-24,2.4687,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BET37C,泽赢临风二号私募证券投资基金C类份额,泽赢临风二号C类,江苏泽赢,2026-08-24,1.0338,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BGE33A,光华中证500指增1号私募证券投资基金A类份额,光华中证500指增1号A类,北京光华,2026-08-24,1.2154,股票多头,500指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BJA17A,同德磐石逸兴私募证券投资基金A类份额,同德磐石逸兴A类,北京同德磐石资管,2026-08-24,1.2553,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
BND72B,正仁逐浪私享一号私募证券投资基金B类份额,正仁逐浪私享一号B类,海南正仁,2026-08-24,0.8852,股票多头,,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
