beian_hao,product_name,strategy_l1,strategy_l2,manager,inception_date,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,sharpe_1y,calmar_1y,perf_filled_count,source_files,in_database,in_private_fund_info,in_private_fund_info_bfl,has_nav,db_product_name,db_latest_nav,db_latest_nav_date,vendor_nav_points,vendor_latest_nav_date,email_type6_nav_points,email_group_nav_points,email_hy_nav_points,in_fof99_universe,fof99_tracking_status,fof99_policy,fof99_reason,fof99_last_ok_date,fof99_last_log_status,in_team_track
AEH53C,阳泽伏尔加指数增强2号C类,期货策略,,杭州阳泽,2023-12-13,-2.39%,+5.92%,-11.46%,-7.31%,,,,4,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,,N
AET85A,积优永生1号A类,多资产策略,复合策略,上海积优,2023-12-20,+0.79%,+14.36%,+2.48%,+4.62%,+33.18%,1.4231,2.5747,7,私募基金 (3).xlsx,Y,Y,N,Y,积优永生1号A类,2.321900,2026-09-04,148,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AET98C,量派CTA一号C类,期货策略,量化期货,上海量派投资,2024-01-03,-0.10%,+1.19%,+1.36%,+2.51%,+8.04%,0.5491,1.4515,7,私募基金.xlsx,Y,Y,N,Y,量派CTA一号C类,1.337400,2026-09-04,144,2026-09-04,0,0,0,Y,weekly_plus,weekly_plus,1m blank-policy: email usually has the week; weekly_plus Friday FundMultiPrice only if list_nav_date is behind,2026-09-04,ok,N
AEU58A,睿银鑫唐套利增强1号A类,组合策略,FOF,武汉睿银,2023-12-28,+0.02%,+3.59%,+0.36%,-1.06%,+4.66%,0.5625,0.8244,7,私募基金 (4).xlsx,Y,Y,N,Y,睿银鑫唐套利增强1号A类,0.997400,2026-09-04,149,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AEU58B,睿银鑫唐套利增强1号B类,组合策略,FOF,武汉睿银,2023-12-28,+0.02%,+3.57%,+0.31%,,,,,3,私募基金 (4).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,,N
AFB16A,九轩专享定制睿途1号A类,组合策略,FOF,大连九轩,2023-12-22,-0.42%,+2.18%,-2.26%,-4.10%,+1.02%,-0.1409,0.1546,7,私募基金 (4).xlsx,Y,Y,N,Y,九轩专享定制睿途1号A类,1.091700,2026-09-04,75,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AFB16B,九轩专享定制睿途1号B类,组合策略,FOF,大连九轩,2023-12-22,-0.41%,+2.20%,-2.20%,-4.00%,+1.23%,-0.1114,0.1896,7,私募基金 (4).xlsx,Y,Y,N,Y,九轩专享定制睿途1号B类,1.094700,2026-09-04,147,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AFF60B,宽价种子B类,期货策略,主观期货,上海宽价,2024-01-16,-2.27%,-5.09%,-6.53%,-13.28%,+13.06%,0.6261,0.9667,7,私募基金.xlsx,Y,Y,N,Y,宽价种子B类,0.883000,2026-09-04,131,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AFF81B,简文长风1号B类,套利策略,期货套利,上海简文,2024-01-29,-1.07%,-2.03%,-0.08%,+7.67%,+9.75%,0.5462,0.8585,7,私募基金 (1).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,,N
AFP38B,明睿盈途稳健B类,期货策略,主观期货,北京明睿,2024-01-08,-0.38%,+4.02%,+2.53%,+0.27%,+3.77%,0.2810,0.7112,7,私募基金.xlsx,Y,Y,N,Y,明睿盈途稳健B类,1.080900,2026-09-04,149,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
