备案号,产品名称,一级策略,二级策略,管理人,成立日期,来源文件,是否在数据库,是否在产品主表,是否在BFL表,是否有净值,数据库产品名称,数据库最新净值,数据库最新净值日期,火富牛净值点数,火富牛最新净值日期,邮箱type6净值点数,邮箱group净值点数,邮箱hy净值点数,是否在火富牛宇宙,火富牛跟踪状态,火富牛策略,火富牛策略原因,火富牛最近成功抓取日,火富牛最近日志状态
ACY46A,浅行多策略对冲2号A类,多资产策略,复合策略,海南浅行,2023-11-08,私募基金 (3).xlsx,Y,Y,N,Y,浅行多策略对冲2号A类,1.180100,2026-09-04,69,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
ADA23A,元葵天时5号A类,多资产策略,宏观策略,浙江元葵资管,2024-01-31,私募基金 (3).xlsx,Y,Y,N,Y,元葵天时5号A类,1.401800,2026-09-04,141,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
ADA58C,君圭北极星C类,多资产策略,复合策略,杭州君圭,2023-11-22,私募基金 (3).xlsx,Y,Y,N,Y,君圭北极星C类,1.188600,2026-05-22,139,2026-05-22,0,0,0,Y,update_slow,update_slow,3-6m: 火富牛 latest 2026-06-26 before 2026-08; do not pay weekly unless policy changed,,
ADB38A,皓然拓实七号A类,多资产策略,宏观策略,北京皓然投资,2023-11-06,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
ADE96A,洛书全天候增强一期A类,多资产策略,宏观策略,上海洛书投资,2023-12-15,私募基金 (3).xlsx,Y,Y,N,Y,洛书全天候增强一期A类,1.464500,2026-09-04,109,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
ADG44A,哲萌进取2号A类,期货策略,主观期货,杭州哲萌投资,2023-11-24,私募基金.xlsx,Y,Y,N,Y,哲萌进取2号A类,1.216500,2026-09-04,154,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
ADJ44A,凯丰凌风1号基本面量化CTAA类,期货策略,量化期货,深圳凯丰投资,2023-12-06,私募基金.xlsx,Y,Y,N,Y,凯丰凌风1号基本面量化CTAA类,1.400300,2026-09-04,150,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
ADJ44C,凯丰凌风1号基本面量化CTAC类,期货策略,量化期货,深圳凯丰投资,2023-12-06,私募基金.xlsx,Y,Y,N,Y,凯丰凌风1号基本面量化CTAC类,1.344300,2026-09-04,144,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
ADJ58B,勤远CTA策略臻选B类,期货策略,量化期货,上海勤远,2023-12-12,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
ADP10A,金斧子水星价值传世A类,多资产策略,复合策略,深圳金斧子资管,2023-12-15,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
ADP10B,金斧子水星价值传世B类,多资产策略,复合策略,深圳金斧子资管,2023-12-15,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
ADP39A,积优基石1号A类,多资产策略,复合策略,上海积优,2023-11-24,私募基金 (3).xlsx,Y,Y,N,Y,积优基石1号A类,1.822400,2026-09-04,151,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
ADR29A,桥睿向往启明A类,期货策略,量化期货,浙江桥睿资管,2023-11-22,私募基金.xlsx,Y,Y,N,Y,桥睿向往启明A类,1.077700,2026-09-04,129,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
AEA78C,量宇进取1号C类,套利策略,期货套利,上海量宇,2023-12-13,私募基金 (1).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
