beian_hao,product_name,list_nav_date,list_nav,nav_table_max_date,nav_table_nav_at_max,have_latest_date,date_bucket,empty_date_probe,fof99_policy
SAUU43,榕树海中证2000指数增强进取1号,2026-08-28,1.486800,2026-08-28,1.486800,2026-08-28,1个月内,,weekly
SAUZ41,量道股票量化多头1号,2026-08-28,1.407000,2026-08-28,1.407000,2026-08-28,1个月内,,weekly
SAVD06,岱熹涵泰一号,2026-08-28,0.931100,2026-08-28,0.931100,2026-08-28,1个月内,,weekly
SAWM40,榕树海有容3号,2026-08-28,1.061500,2026-08-28,1.061500,2026-08-28,1个月内,,weekly
SAWM47,榕树海中证A500指数增强1号,2026-08-28,1.047500,2026-08-28,1.047500,2026-08-28,1个月内,,weekly
SAWR20,彬元天源量化,2026-08-28,1.778300,2026-08-28,1.778300,2026-08-28,1个月内,,weekly
SAXS45,笃熙禀泰文艺复兴20号私募证券投资基金,2026-08-28,1.054800,2026-08-28,1.054800,2026-08-28,1个月内,,weekly
SAYN63,邦阁赤水1号,2026-08-28,0.953300,2026-08-28,0.953300,2026-08-28,1个月内,,weekly
SAYR22,量智传奇CTA一号,2026-08-28,1.117200,2026-08-28,1.117200,2026-08-28,1个月内,,weekly
SAZA22,鸣瑜多策略均衡1号,2026-08-28,1.017100,2026-08-28,1.017100,2026-08-28,1个月内,,weekly
SAZC25,元图省心享量化选股1号,2026-08-28,1.300900,2026-08-28,1.300900,2026-08-28,1个月内,,weekly
SAZF25,瀚鑫纸鸢低波,2026-08-28,1.084200,2026-08-28,1.084200,2026-08-28,1个月内,,weekly
SAZF34,盖亚青柯刺桐1号,2026-08-28,1.307600,2026-08-28,1.307600,2026-08-28,1个月内,,weekly
SAZQ73,禅龙全天候复合策略中波1号,2026-08-28,1.063100,2026-08-28,1.063100,2026-08-28,1个月内,,weekly
SAZR53,禅龙全天候复合策略高波1号,2026-08-28,1.091700,2026-08-28,1.091700,2026-08-28,1个月内,,weekly
SAZW60,阶石稳健9号,2026-08-28,1.025700,2026-08-28,1.025700,2026-08-28,1个月内,,weekly
SB5534,金和至信稳健12号,2026-08-28,1.147600,2026-08-28,1.147600,2026-08-28,1个月内,,weekly
SB6408,磐松多空对冲均衡配置1号,2026-08-28,1.234500,2026-08-28,1.234500,2026-08-28,1个月内,,weekly
SB7255,杨湜微盘股增强1号,2026-08-28,2.623600,2026-08-28,2.623600,2026-08-28,1个月内,,weekly
SB8677,星云至恒白羊座可转债,2026-08-28,1.027100,2026-08-28,1.027100,2026-08-28,1个月内,,weekly
SBAW63,创懿新生一号,2026-08-28,1.138000,2026-08-28,1.138000,2026-08-28,1个月内,,weekly
SBBE42,骏远高价值成长6号,2026-08-28,1.488500,2026-08-28,1.488500,2026-08-28,1个月内,,weekly
SBBH00,泽赢玄坛稳进一号,2026-08-28,1.663700,2026-08-28,1.663700,2026-08-28,1个月内,,weekly
SBBZ26,刀锋中性阿尔法私募证券投资基金,2026-08-28,0.908500,2026-08-28,0.908500,2026-08-28,1个月内,,weekly
SBCB86,泽赢玄坛稳进二号,2026-08-28,1.137300,2026-08-28,1.137300,2026-08-28,1个月内,,weekly
SBCT05,艳珍玄武300中性1号,2026-08-28,1.128800,2026-08-28,1.128800,2026-08-28,1个月内,,weekly
SBDB31,衡颐耀东1号私募证券投资基金,2026-08-28,0.856000,2026-08-28,0.856000,2026-08-28,1个月内,,weekly
SBDG15,富涌谷量化选股1号,2026-08-28,1.015000,2026-08-28,1.015000,2026-08-28,1个月内,,weekly
SBEW97,盖亚青柯平衡中性1号,2026-08-28,1.094100,2026-08-28,1.094100,2026-08-28,1个月内,,weekly
SBFV37,君跃飞畅1号,2026-08-28,0.957000,2026-08-28,0.957000,2026-08-28,1个月内,,weekly
SBFZ61,弈祖青圭礼东3号,2026-08-28,1.126100,2026-08-28,1.126100,2026-08-28,1个月内,,weekly
SBJW02,巨量均衡科技精选一号私募证券投资基金,2026-08-28,1.257500,2026-08-28,1.257500,2026-08-28,1个月内,,weekly
SBML48,江煦千帆股票精选一号私募证券投资基金,2026-08-28,0.987200,2026-08-28,0.987200,2026-08-28,1个月内,,weekly
SBNR74,君跃飞扬鲲鹏私募证券投资基金,2026-08-28,0.714000,2026-08-28,0.714000,2026-08-28,1个月内,,weekly
SBPL74,澎湃双十蓝筹择时量选1号私募证券投资基金,2026-08-28,1.150400,2026-08-28,1.150400,2026-08-28,1个月内,,weekly
SBQW60,星汇开阳旗舰一号私募证券投资基金,2026-08-28,1.035000,2026-08-28,1.035000,2026-08-28,1个月内,,weekly
SC336A,谷启万利2号A类,2026-08-28,1.399000,2026-08-28,1.399000,2026-08-28,1个月内,,weekly
SEC547,元涞潜龙一号,2026-08-28,5.333200,2026-08-28,5.333200,2026-08-28,1个月内,,weekly
SEQ255,量道CTA精选2号,2026-08-28,3.982500,2026-08-28,3.982500,2026-08-28,1个月内,,weekly
SET659,安值量化1号,2026-08-28,2.039000,2026-08-28,2.039000,2026-08-28,1个月内,,weekly
SGA024,翼品致远股票价值精选1号,2026-08-28,1.002000,2026-08-28,1.002000,2026-08-28,1个月内,,weekly
SGJ083,安值福慧量化5号,2026-08-28,1.700700,2026-08-28,1.700700,2026-08-28,1个月内,,weekly
SGN799,玉数纯阿尔法一号,2026-08-28,1.119200,2026-08-28,1.119200,2026-08-28,1个月内,,weekly
SGR065,高熵稳盛4号私募固定收益投资基金,2026-08-28,1.668900,2026-08-28,1.668900,2026-08-28,1个月内,,weekly
SGS117,信实2号,2026-08-28,1.053000,2026-08-28,1.053000,2026-08-28,1个月内,,weekly
SGS282,六禾谦恒,2026-08-28,1.865000,2026-08-28,1.865000,2026-08-28,1个月内,,weekly
SGS754,鋆晟狮王套利,2026-08-28,1.091400,2026-08-28,1.091400,2026-08-28,1个月内,,weekly
SGV846,衍盛铭量沪深300指数增强1号,2026-08-28,1.437000,2026-08-28,1.437000,2026-08-28,1个月内,,weekly
SH3322,天演中证500指数增强基金,2026-08-28,1.021700,2026-08-28,1.021700,2026-08-28,1个月内,,weekly
