beian_hao,product_name,list_nav_date,list_nav,nav_table_max_date,nav_table_nav_at_max,have_latest_date,date_bucket,empty_date_probe,fof99_policy,fof99_source,fof99_latest_date,fof99_latest_nav
SAET98,量派CTA一号,2026-09-04,1.369600,2026-09-04,1.369600,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.3706
SADF15,茂源量化CTA-1号私募证券投资基金,2026-09-04,1.277300,,,2026-09-04,1个月以内,no_data,skip,,,
SADE15,汉鸿景明1号私募证券投资基金,2026-09-04,1.003200,,,2026-09-04,1个月以内,no_data,skip,,,
SABU65,辰元贝塔3号,2026-09-04,1.802400,2026-05-22,1.745900,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.7298
R0423B,荣熙优选10号B类,2026-09-04,1.807700,2026-05-22,1.806300,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.8457
GM266C,尚艺阳光1号C类,2026-09-04,1.698300,2026-08-28,1.339900,2026-09-04,1个月以内,,weekly,advancedlist,2026-08-28,1.3399
AZU19A,博衍九溪CTA6号A类,2026-09-04,1.176200,2026-05-22,1.128600,2026-09-04,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.1596
ZZ681C,垒昂蜜獾中证1000指数增强3号C类,2026-09-03,2.028000,2026-09-03,2.028000,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,2.028
ZZ681B,垒昂蜜獾中证1000指数增强3号B类,2026-09-03,1.998300,2026-09-03,1.998300,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.9983
ZZ681A,垒昂蜜獾中证1000指数增强3号A类,2026-09-03,2.001200,2026-09-03,2.001200,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,2.0012
ZY084A,交睿宏观配置5号A类,2026-09-03,1.770100,2026-05-22,1.702800,2026-09-03,1个月以内,,weekly_plus,advancedlist,2026-08-28,1.7528
ZX697B,鸿竹互强芯富3号B类,2026-09-03,1.488200,2026-09-03,1.488200,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.4882
ZX697A,鸿竹互强芯富3号A类,2026-09-03,1.554600,2026-09-03,1.554600,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.5546
ZT233A,智领万得1号A类,2026-09-03,1.042500,2026-09-03,1.042500,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.0425
ZS755B,德合南岳量化一号B类,2026-09-03,2.126300,2026-09-03,2.126300,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,2.1263
ZK145B,信实万顺2号B类,2026-09-03,1.047000,2026-09-03,1.047000,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.047
ZK008A,嘉信达丰年兆A类,2026-09-03,1.041500,2026-09-03,1.041500,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.0415
ZJ258C,至坤繁星咬金1号C类,2026-09-03,1.800200,2026-09-03,1.800200,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.8002
ZJ010A,海子热浪一号A类,2026-09-03,0.815800,2026-09-03,0.815800,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,0.8158
ZG868A,博衍留芳1号A类,2026-09-03,2.222090,2026-08-28,2.182600,2026-09-03,1个月以内,,weekly,advancedlist,2026-08-28,2.1826
XY853A,六妙星破阵子A类,2026-09-03,1.788300,2026-09-03,1.788300,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.7883
XV626A,上海高恩医药进取3号A类,2026-09-03,1.721000,2026-09-03,1.721000,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.721
XQ626A,光影宏观1号A类,2026-09-03,1.890900,2026-09-03,1.890900,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.8909
XQ465B,高益老杰股纯量化B类,2026-09-03,1.297000,2026-09-03,1.297000,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.297
XN782A,巨量边界周周开1号A类,2026-09-03,1.291500,2026-09-03,1.291500,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.2915
XH270B,鲸鸿一号B类,2026-09-03,1.072000,2026-09-03,1.072000,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.072
XF586A,濡圣量化3号A类,2026-09-03,1.106000,2026-09-03,1.106000,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.106
W7807A,志强价值成长1号A类,2026-09-03,3.352500,2026-09-03,3.352500,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,3.3525
VY097A,壹点纳锦高定A类,2026-09-03,0.873000,2026-09-03,0.873000,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,0.873
VV957A,睿扬医药甄选A类,2026-09-03,1.942100,2026-09-03,1.942100,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.9421
VV441A,信展灵活选股1号A类,2026-09-03,1.822900,2026-09-03,1.822900,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.8229
VV092A,信展展盈A类,2026-09-03,1.152100,2026-09-03,1.152100,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.1521
VV082A,信展1000增强A类,2026-09-03,1.389900,2026-09-03,1.389900,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.3899
VT976A,泽盈陈林1号A类,2026-09-03,0.891200,2026-09-03,0.891200,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,0.8912
VT897B,蓝宝石远见1号B类,2026-09-03,0.896000,2026-09-03,0.896000,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,0.896
VT897A,蓝宝石远见1号A类,2026-09-03,0.897000,2026-09-03,0.897000,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,0.897
VT170A,传山量化CTA轮动昆仑山1号A类,2026-09-03,1.591200,2026-09-03,1.591200,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,1.5912
VS785A,海子丰铄六号A类,2026-09-03,0.902800,2026-09-03,0.902800,2026-09-03,1个月以内,,weekly,advancedlist,2026-09-03,0.9028
VP165A,观理摘金稳健1号A类,2026-09-03,1.293500,2026-05-26,1.069700,2026-09-03,1个月以内,,weekly_plus,advancedlist,2026-09-02,1.2829
